h_id,AGEP,RELP,SEX,RACAIAN,RACASN,RACBLK,RACNHPI,RACSOR,RACWHT,isHISP,RACNUM
93452910,89,0,1,0,0,0,0,0,1,0,1
93452911,89,0,1,0,0,0,0,0,1,0,1
93452912,89,0,1,0,0,0,0,0,1,0,1
93452913,89,0,1,0,0,0,0,0,1,0,1
93452914,89,0,1,0,0,0,0,0,1,0,1
93452915,89,0,1,0,0,0,0,0,1,0,1
93452916,89,0,1,0,0,0,0,0,1,0,1
93452917,89,0,1,0,0,0,0,0,1,0,1
93452918,89,0,1,0,0,0,0,0,1,0,1
93452919,89,0,1,0,0,0,0,0,1,0,1
93452920,89,0,1,0,0,0,0,0,1,0,1
93452921,89,0,1,0,0,0,0,0,1,0,1
93458837,44,0,2,0,0,0,0,0,1,0,1
93458837,36,1,1,0,0,0,0,0,1,0,1
93458837,12,2,1,0,0,0,0,0,1,0,1
93458837,8,2,1,0,0,0,0,0,1,0,1
93458838,44,0,2,0,0,0,0,0,1,0,1
93458838,36,1,1,0,0,0,0,0,1,0,1
93458838,12,2,1,0,0,0,0,0,1,0,1
93458838,8,2,1,0,0,0,0,0,1,0,1
93458839,44,0,2,0,0,0,0,0,1,0,1
93458839,36,1,1,0,0,0,0,0,1,0,1
93458839,12,2,1,0,0,0,0,0,1,0,1
93458839,8,2,1,0,0,0,0,0,1,0,1
93458840,44,0,2,0,0,0,0,0,1,0,1
93458840,36,1,1,0,0,0,0,0,1,0,1
93458840,12,2,1,0,0,0,0,0,1,0,1
93458840,8,2,1,0,0,0,0,0,1,0,1
93458841,44,0,2,0,0,0,0,0,1,0,1
93458841,36,1,1,0,0,0,0,0,1,0,1
93458841,12,2,1,0,0,0,0,0,1,0,1
93458841,8,2,1,0,0,0,0,0,1,0,1
93458842,44,0,2,0,0,0,0,0,1,0,1
93458842,36,1,1,0,0,0,0,0,1,0,1
93458842,12,2,1,0,0,0,0,0,1,0,1
93458842,8,2,1,0,0,0,0,0,1,0,1
93458843,44,0,2,0,0,0,0,0,1,0,1
93458843,36,1,1,0,0,0,0,0,1,0,1
93458843,12,2,1,0,0,0,0,0,1,0,1
93458843,8,2,1,0,0,0,0,0,1,0,1
93458844,44,0,2,0,0,0,0,0,1,0,1
93458844,36,1,1,0,0,0,0,0,1,0,1
93458844,12,2,1,0,0,0,0,0,1,0,1
93458844,8,2,1,0,0,0,0,0,1,0,1
93458845,44,0,2,0,0,0,0,0,1,0,1
93458845,36,1,1,0,0,0,0,0,1,0,1
93458845,12,2,1,0,0,0,0,0,1,0,1
93458845,8,2,1,0,0,0,0,0,1,0,1
93458846,44,0,2,0,0,0,0,0,1,0,1
93458846,36,1,1,0,0,0,0,0,1,0,1
93458846,12,2,1,0,0,0,0,0,1,0,1
93458846,8,2,1,0,0,0,0,0,1,0,1
93459085,40,0,1,0,0,0,0,0,1,0,1
93459085,35,1,2,0,0,0,0,0,1,0,1
93459085,18,2,1,0,0,0,0,0,1,0,1
93459085,60,8,1,0,0,0,0,0,1,0,1
93459085,60,8,2,0,0,0,0,0,1,0,1
93459085,40,12,2,0,0,0,0,0,1,0,1
93459086,40,0,1,0,0,0,0,0,1,0,1
93459086,35,1,2,0,0,0,0,0,1,0,1
93459086,18,2,1,0,0,0,0,0,1,0,1
93459086,60,8,1,0,0,0,0,0,1,0,1
93459086,60,8,2,0,0,0,0,0,1,0,1
93459086,40,12,2,0,0,0,0,0,1,0,1
93459087,40,0,1,0,0,0,0,0,1,0,1
93459087,35,1,2,0,0,0,0,0,1,0,1
93459087,18,2,1,0,0,0,0,0,1,0,1
93459087,60,8,1,0,0,0,0,0,1,0,1
93459087,60,8,2,0,0,0,0,0,1,0,1
93459087,40,12,2,0,0,0,0,0,1,0,1
93459088,40,0,1,0,0,0,0,0,1,0,1
93459088,35,1,2,0,0,0,0,0,1,0,1
93459088,18,2,1,0,0,0,0,0,1,0,1
93459088,60,8,1,0,0,0,0,0,1,0,1
93459088,60,8,2,0,0,0,0,0,1,0,1
93459088,40,12,2,0,0,0,0,0,1,0,1
93459089,40,0,1,0,0,0,0,0,1,0,1
93459089,35,1,2,0,0,0,0,0,1,0,1
93459089,18,2,1,0,0,0,0,0,1,0,1
93459089,60,8,1,0,0,0,0,0,1,0,1
93459089,60,8,2,0,0,0,0,0,1,0,1
93459089,40,12,2,0,0,0,0,0,1,0,1
93459090,40,0,1,0,0,0,0,0,1,0,1
93459090,35,1,2,0,0,0,0,0,1,0,1
