g_id,h_id,TEN,ST,PUMA10
444,93459162,1.0,37,800
444,93459163,1.0,37,800
444,93459164,1.0,37,800
444,93459165,1.0,37,800
444,93459166,1.0,37,800
444,93459167,1.0,37,800
444,93459168,1.0,37,800
444,93459169,1.0,37,800
444,93459170,1.0,37,800
444,93459171,1.0,37,800
444,93459172,1.0,37,800
444,93459173,1.0,37,800
444,93459174,1.0,37,800
444,93459175,1.0,37,800
444,93459176,1.0,37,800
444,93459177,1.0,37,800
444,93459178,1.0,37,800
444,93459179,1.0,37,800
444,93459180,1.0,37,800
444,93459181,1.0,37,800
444,93459182,1.0,37,800
444,93459183,1.0,37,800
444,93459184,1.0,37,800
444,93459185,1.0,37,800
444,93459186,1.0,37,800
444,93459187,1.0,37,800
444,93459188,1.0,37,800
444,93459189,1.0,37,800
444,93459190,1.0,37,800
444,93459191,1.0,37,800
444,93459192,1.0,37,800
444,93459193,1.0,37,800
444,93459194,1.0,37,800
444,93459195,1.0,37,800
444,93459196,1.0,37,800
444,93459197,1.0,37,800
444,93459198,1.0,37,800
444,93459199,1.0,37,800
444,93459200,1.0,37,800
444,93459201,1.0,37,800
444,93459202,1.0,37,800
444,93459203,1.0,37,800
444,93459204,1.0,37,800
444,93459205,1.0,37,800
444,93459206,1.0,37,800
444,93459207,1.0,37,800
444,93465827,,37,800
444,93467758,3.0,37,800
444,93467759,3.0,37,800
444,93474057,2.0,37,800
444,93474058,2.0,37,800
444,93474059,2.0,37,800
444,93474060,2.0,37,800
444,93474061,2.0,37,800
444,93474062,2.0,37,800
444,93474063,2.0,37,800
444,93474064,2.0,37,800
444,93474065,2.0,37,800
444,93474066,2.0,37,800
444,93474067,2.0,37,800
444,93475611,3.0,37,800
444,93475612,3.0,37,800
444,93475613,3.0,37,800
444,93475614,3.0,37,800
444,93475615,3.0,37,800
444,93475616,3.0,37,800
444,93475617,3.0,37,800
444,93475618,3.0,37,800
444,93475619,3.0,37,800
444,93475620,3.0,37,800
444,93475621,3.0,37,800
444,93475622,3.0,37,800
444,93475623,3.0,37,800
444,93475624,3.0,37,800
444,93475625,3.0,37,800
444,93475626,3.0,37,800
444,93475627,3.0,37,800
444,93475628,3.0,37,800
444,93475629,3.0,37,800
444,93475630,3.0,37,800
444,93475631,3.0,37,800
444,93475632,3.0,37,800
444,93475633,3.0,37,800
444,93475634,3.0,37,800
444,93475635,3.0,37,800
444,93475636,3.0,37,800
444,93475637,3.0,37,800
444,93475638,3.0,37,800
444,93475639,3.0,37,800
444,93475640,3.0,37,800
444,93475641,3.0,37,800
444,93475642,3.0,37,800
444,93475643,3.0,37,800
444,93475644,3.0,37,800
444,93475645,3.0,37,800
444,93475646,3.0,37,800
444,93475647,3.0,37,800
444,93475648,3.0,37,800
444,93475649,3.0,37,800
444,93475650,3.0,37,800
444,93475651,3.0,37,800
444,93475652,3.0,37,800
444,93475653,3.0,37,800
444,93475654,3.0,37,800
444,93475655,3.0,37,800
444,93475656,3.0,37,800
444,93475657,3.0,37,800
444,93475658,3.0,37,800
444,93475659,3.0,37,800
444,93475660,3.0,37,800
444,93475661,3.0,37,800
444,93475662,3.0,37,800
444,93475663,3.0,37,800
444,93475664,3.0,37,800
444,93475665,3.0,37,800
444,93475666,3.0,37,800
444,93475667,3.0,37,800
444,93475668,3.0,37,800
444,93475669,3.0,37,800
444,93475670,3.0,37,800
444,93475671,3.0,37,800
444,93475672,3.0,37,800
444,93475673,3.0,37,800
444,93475674,3.0,37,800
444,93475675,3.0,37,800
444,93475676,3.0,37,800
444,93475677,3.0,37,800
444,93475678,3.0,37,800
444,93475679,3.0,37,800
444,93475680,3.0,37,800
444,93475681,3.0,37,800
444,93475682,3.0,37,800
444,93475683,3.0,37,800
444,93475977,2.0,37,800
444,93475978,2.0,37,800
444,93475979,2.0,37,800
444,93475980,2.0,37,800
444,93476871,,37,800
444,93476872,,37,800
444,93476873,,37,800
444,93476874,,37,800
444,93477213,3.0,37,800
444,93477214,3.0,37,800
444,93477215,3.0,37,800
444,93477216,3.0,37,800
444,93477217,3.0,37,800
444,93477218,3.0,37,800
444,93477219,3.0,37,800
444,93477220,3.0,37,800
444,93477221,3.0,37,800
444,93477222,3.0,37,800
444,93477223,3.0,37,800
444,93477224,3.0,37,800
444,93477225,3.0,37,800
444,93477226,3.0,37,800
444,93477227,3.0,37,800
444,93477228,3.0,37,800
444,93477229,3.0,37,800
444,93477230,3.0,37,800
444,93477231,3.0,37,800
444,93477232,3.0,37,800
444,93477233,3.0,37,800
444,93477234,3.0,37,800
444,93477235,3.0,37,800
444,93477236,3.0,37,800
444,93477237,3.0,37,800
